iter	Passed	Remaining
0	6	6806
1	12	6338
2	17	5978
3	23	5737
4	27	5451
5	32	5388
6	38	5411
7	42	5275
8	47	5229
9	52	5214
10	57	5150
11	62	5164
12	67	5152
13	72	5121
14	77	5119
15	83	5117
16	88	5102
17	94	5151
18	99	5138
19	104	5140
20	110	5134
21	114	5112
22	117	5000
23	122	4978
24	127	4979
25	132	4980
26	138	4979
27	143	4985
28	148	4982
29	154	4980
30	159	4982
31	164	4975
32	169	4971
33	175	4984
34	180	4965
35	186	4982
36	191	4983
37	196	4976
38	204	5028
39	211	5078
40	219	5144
41	228	5207
42	233	5207
43	239	5206
44	245	5209
45	251	5223
46	257	5214
47	262	5212
48	268	5214
49	274	5212
50	279	5194
51	284	5184
52	290	5182
53	295	5173
54	300	5170
55	306	5172
56	312	5172
57	317	5161
58	323	5154
59	328	5142
60	336	5182
61	339	5131
62	343	5115
63	350	5127
64	356	5123
65	361	5113
66	367	5113
67	372	5109
68	378	5106
69	384	5103
70	389	5096
71	394	5088
72	400	5081
73	405	5068
74	410	5062
75	415	5053
76	420	5044
77	426	5044
78	431	5036
79	437	5034
80	443	5031
81	449	5028
82	453	5015
83	459	5010
84	464	5005
85	469	4986
86	474	4982
87	480	4982
88	486	4977
89	491	4970
90	496	4964
91	502	4960
92	508	4957
93	513	4948
94	518	4941
95	523	4933
96	529	4927
97	534	4921
98	539	4913
99	544	4897
100	549	4887
101	554	4881
102	559	4872
103	565	4871
104	570	4860
105	574	4848
106	579	4838
107	584	4828
108	589	4820
109	595	4815
110	599	4803
111	604	4795
112	609	4782
113	613	4767
114	617	4754
115	622	4743
116	627	4737
117	633	4737
118	638	4724
119	643	4722
120	649	4715
121	652	4692
122	657	4686
123	661	4674
124	666	4662
125	670	4650
126	676	4647
127	681	4642
128	686	4633
129	691	4626
130	696	4620
131	702	4616
132	707	4609
133	711	4596
134	715	4586
135	720	4575
136	725	4570
137	730	4563
138	735	4553
139	739	4544
140	744	4538
141	748	4521
142	756	4534
143	763	4540
144	768	4532
145	772	4521
146	777	4512
147	782	4502
148	786	4492
149	789	4474
150	793	4464
151	799	4457
152	804	4453
153	810	4451
154	814	4442
155	820	4438
156	824	4429
157	829	4421
158	833	4411
159	839	4406
160	845	4404
161	850	4398
162	857	4405
163	862	4398
164	867	4388
165	872	4381
166	877	4375
167	882	4371
168	887	4365
169	891	4351
170	896	4343
171	900	4335
172	905	4328
173	910	4324
174	916	4322
175	922	4317
176	927	4313
177	932	4308
178	938	4302
179	942	4294
180	948	4291
181	953	4285
182	959	4281
183	964	4275
184	969	4270
185	974	4263
186	980	4260
187	985	4256
188	990	4251
189	995	4245
190	1001	4243
191	1006	4237
192	1012	4233
193	1017	4225
194	1023	4224
195	1028	4216
196	1033	4214
197	1039	4210
198	1046	4213
199	1052	4210
