iter	Passed	Remaining
0	6	6506
1	12	6264
2	18	6230
3	23	5932
4	29	5925
5	34	5679
6	39	5567
7	43	5442
8	48	5304
9	52	5191
10	57	5169
11	63	5267
12	69	5266
13	74	5238
14	79	5215
15	84	5193
16	89	5161
17	93	5123
18	98	5108
19	104	5118
20	110	5128
21	115	5114
22	120	5098
23	125	5089
24	130	5085
25	135	5090
26	142	5150
27	150	5213
28	157	5282
29	164	5317
30	171	5359
31	179	5419
32	186	5460
33	192	5482
34	199	5499
35	206	5541
36	215	5596
37	223	5658
38	230	5680
39	236	5667
40	241	5655
41	246	5633
42	252	5610
43	257	5597
44	262	5581
45	267	5556
46	273	5536
47	278	5527
48	284	5514
49	289	5496
50	294	5482
51	300	5474
52	305	5458
53	311	5449
54	316	5431
55	321	5425
56	326	5400
57	331	5386
58	336	5368
59	341	5351
60	346	5327
61	350	5310
62	356	5296
63	361	5287
64	366	5276
65	372	5265
66	377	5257
67	382	5242
68	387	5227
69	392	5218
70	397	5204
71	402	5193
72	408	5186
73	413	5173
74	418	5165
75	424	5159
76	430	5155
77	435	5145
78	440	5135
79	445	5127
80	450	5116
81	456	5107
82	460	5087
83	465	5073
84	469	5055
85	474	5045
86	480	5043
87	486	5041
88	490	5015
89	495	5006
90	500	5004
91	506	4994
92	510	4980
93	516	4975
94	521	4970
95	527	4963
96	532	4954
97	538	4952
98	543	4943
99	548	4932
100	553	4929
101	559	4926
102	565	4922
103	570	4915
104	574	4901
105	578	4881
106	583	4870
107	587	4849
108	592	4844
109	596	4825
110	601	4815
111	605	4804
112	610	4792
113	616	4788
114	620	4778
115	625	4767
116	630	4759
117	636	4754
118	641	4746
119	646	4737
120	650	4726
121	657	4735
122	663	4730
123	669	4731
124	674	4721
125	679	4715
126	684	4706
127	689	4698
128	694	4690
129	699	4682
130	704	4670
131	709	4663
132	713	4651
133	717	4639
134	722	4626
135	727	4620
136	731	4610
137	735	4592
138	739	4579
139	744	4572
140	748	4559
141	753	4552
142	758	4546
143	763	4540
144	768	4530
145	773	4523
146	777	4510
147	781	4499
148	786	4492
149	791	4484
150	796	4479
151	801	4473
152	806	4466
153	809	4449
154	813	4433
155	818	4429
156	823	4423
157	828	4414
158	832	4401
159	836	4389
160	840	4379
161	844	4371
162	849	4361
163	854	4356
164	859	4351
165	864	4343
166	869	4334
167	873	4327
168	879	4323
169	884	4318
170	889	4312
171	894	4306
172	898	4297
173	904	4292
174	909	4286
175	914	4283
176	919	4273
177	924	4269
178	928	4260
179	933	4250
180	937	4243
181	942	4237
182	946	4225
183	950	4214
184	955	4210
185	960	4203
186	965	4196
187	970	4192
188	974	4180
189	979	4174
190	984	4170
191	988	4159
192	993	4152
193	997	4142
194	1001	4133
195	1006	4127
196	1010	4119
197	1015	4112
198	1020	4106
199	1024	4097
200	1027	4085
201	1033	4084
202	1038	4076
203	1043	4072
204	1048	4064
205	1053	4058
206	1055	4043
207	1059	4032
208	1064	4027
209	1069	4023
210	1074	4017
211	1078	4007
212	1083	4002
213	1088	3999
214	1093	3991
215	1096	3979
216	1101	3973
217	1105	3967
218	1110	3959
219	1116	3957
220	1120	3948
221	1125	3943
222	1130	3937
223	1133	3927
224	1138	3922
225	1142	3912
226	1148	3909
227	1153	3905
228	1159	3902
229	1164	3897
230	1170	3897
231	1176	3894
232	1182	3891
233	1205	3945
234	1213	3951
235	1223	3960
236	1233	3970
237	1242	3978
238	1250	3980
239	1257	3981
240	1261	3972
241	1266	3965
242	1270	3958
243	1275	3950
244	1279	3941
245	1281	3928
246	1287	3923
247	1291	3917
248	1297	3913
249	1303	3910
250	1308	3904
251	1314	3900
252	1318	3894
253	1322	3884
254	1327	3878
255	1332	3873
256	1337	3866
257	1342	3861
258	1347	3854
259	1352	3848
260	1357	3844
261	1361	3836
262	1367	3830
263	1372	3825
264	1374	3812
265	1379	3805
266	1384	3799
267	1388	3793
268	1393	3786
269	1398	3781
270	1403	3775
271	1406	3765
272	1411	3759
273	1416	3753
274	1420	3743
275	1424	3737
276	1430	3733
277	1434	3725
278	1439	3720
279	1442	3709
280	1447	3702
281	1450	3692
282	1454	3685
283	1459	3678
284	1464	3673
285	1468	3665
286	1472	3659
287	1477	3651
288	1480	3641
289	1484	3634
290	1488	3626
291	1491	3615
292	1495	3609
293	1500	3603
294	1504	3596
295	1510	3591
296	1515	3586
297	1520	3581
298	1524	3574
299	1529	3569
300	1534	3563
301	1538	3556
302	1543	3549
303	1548	3545
304	1552	3538
305	1556	3530
306	1560	3522
307	1565	3518
308	1569	3510
309	1575	3506
310	1580	3500
311	1584	3494
312	1588	3485
313	1592	3479
314	1596	3472
315	1600	3465
316	1605	3458
317	1609	3451
318	1614	3446
319	1618	3439
320	1623	3433
321	1627	3427
322	1632	3422
323	1637	3416
324	1643	3412
325	1648	3407
326	1652	3400
327	1657	3396
328	1663	3392
329	1670	3392
330	1675	3386
331	1681	3383
332	1685	3376
333	1691	3373
334	1696	3368
335	1701	3362
336	1705	3355
337	1710	3350
338	1715	3344
339	1719	3338
340	1724	3332
341	1729	3327
342	1734	3322
343	1739	3316
344	1742	3308
345	1747	3303
346	1752	3298
347	1757	3292
348	1761	3285
349	1764	3277
350	1769	3271
351	1774	3267
352	1778	3259
353	1783	3253
354	1786	3245
355	1791	3239
356	1795	3234
357	1800	3228
358	1805	3223
359	1809	3217
360	1814	3211
361	1818	3205
362	1823	3199
363	1827	3192
364	1832	3187
