iter	Passed	Remaining
0	3	331
1	5	271
2	7	248
3	9	238
4	12	233
5	14	220
6	16	224
7	19	224
8	22	228
9	24	224
10	26	215
11	28	207
12	29	200
13	31	195
14	33	189
15	34	183
16	36	177
17	37	172
18	39	167
19	41	166
20	43	162
21	44	158
22	46	154
23	47	151
24	49	147
25	50	144
26	52	141
27	53	137
28	55	135
29	56	132
30	58	130
31	60	127
32	62	126
33	63	123
34	65	121
35	66	118
36	68	116
37	69	113
38	71	111
39	72	109
40	74	107
41	75	104
42	77	102
43	78	100
44	80	98
45	81	95
46	83	93
47	84	91
48	86	89
49	87	87
50	89	86
51	91	84
52	92	82
53	94	80
54	95	78
55	97	76
56	98	74
57	100	72
58	102	70
59	103	69
60	105	67
61	106	65
62	108	63
63	109	61
64	111	60
65	113	58
66	114	56
67	116	54
68	117	52
69	119	51
70	121	49
71	122	47
72	124	45
73	125	44
74	127	42
75	128	40
76	130	38
77	131	37
78	133	35
79	134	33
80	136	31
81	137	30
82	139	28
83	141	26
84	142	25
85	144	23
86	145	21
87	147	20
88	149	18
89	150	16
90	152	15
91	153	13
92	155	11
93	157	10
94	158	8
95	160	6
96	161	4
97	163	3
98	164	1
99	166	0
