passenger_group,HomePlanet,PassengerId,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,deck,number,side,num_group,total_spend
0001,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0002,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0003,Europa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0004,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0005,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0006,Earth,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
0007,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0008,Europa,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
0009,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0010,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0011,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0012,Earth,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0014,Mars,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0015,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0016,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0017,Earth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0020,Earth,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6
0022,Mars,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0024,Europa,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0025,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0026,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0028,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0030,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0031,Mars,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
0034,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0035,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0036,Earth,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0038,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0039,Earth,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0041,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0043,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0044,Earth,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0045,Mars,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0050,Earth,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0051,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0052,Earth,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0053,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0056,Europa,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0058,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0061,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0062,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0064,Mars,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2
0066,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0067,Earth,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0068,Mars,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0069,Earth,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0070,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0071,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0072,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0073,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0074,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0076,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0077,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0078,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0081,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0082,Mars,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
0084,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0085,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0086,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0088,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0090,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0091,Earth,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
0092,Earth,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
0097,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0098,Earth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0099,Earth,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0101,Mars,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0102,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0103,Earth,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
0105,Earth,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0107,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0108,Earth,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3
0110,Europa,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4
0111,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0112,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0113,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0114,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0115,Mars,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0116,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0119,Europa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0120,Mars,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0122,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0123,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0126,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0127,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0128,Mars,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0129,Earth,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0133,Mars,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0134,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0136,Earth,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0138,Earth,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0139,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0140,Earth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0141,Mars,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0144,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0146,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0147,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0148,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0149,Earth,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0151,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0152,Earth,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0160,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0163,Europa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0164,Earth,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
0165,Mars,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
