passenger_group,HomePlanet,CryoSleep,Destination,VIP,deck,side,number,PassengerId
0001,Europa,False,TRAPPIST-1e,False,B,P,0.0,1
6032,Earth,True,TRAPPIST-1e,False,G,S,982.0,1
6032,Earth,True,55 Cancri e,False,G,S,982.0,1
6032,Earth,False,TRAPPIST-1e,False,E,S,397.0,1
6031,Earth,False,TRAPPIST-1e,False,F,S,1146.0,1
6029,Earth,False,TRAPPIST-1e,False,E,S,396.0,1
6028,Europa,False,TRAPPIST-1e,True,A,P,57.0,1
6028,Europa,False,TRAPPIST-1e,False,A,P,57.0,1
6027,Europa,False,TRAPPIST-1e,False,B,S,232.0,1
6026,Mars,False,TRAPPIST-1e,False,F,P,1246.0,1
6025,Earth,False,TRAPPIST-1e,False,F,P,1245.0,1
6024,Earth,True,PSO J318.5-22,False,G,P,975.0,1
6033,Mars,False,TRAPPIST-1e,False,E,P,384.0,1
6020,Earth,True,55 Cancri e,False,G,P,974.0,1
6019,Earth,False,TRAPPIST-1e,False,F,S,1145.0,1
6016,Earth,False,TRAPPIST-1e,False,G,P,973.0,1
6016,Earth,False,TRAPPIST-1e,False,E,P,383.0,1
6015,Europa,True,TRAPPIST-1e,False,B,S,231.0,1
6015,Europa,False,55 Cancri e,False,B,S,231.0,1
6014,Earth,False,TRAPPIST-1e,False,E,S,395.0,1
6011,Earth,False,TRAPPIST-1e,False,F,P,1239.0,1
6010,Earth,True,55 Cancri e,False,G,S,979.0,1
6008,Earth,False,PSO J318.5-22,False,F,P,1238.0,1
6007,Earth,True,TRAPPIST-1e,False,G,P,971.0,1
6006,Europa,True,55 Cancri e,False,D,P,190.0,1
6020,Earth,False,55 Cancri e,False,F,P,1242.0,1
6006,Europa,False,55 Cancri e,True,D,P,190.0,1
6033,Mars,True,55 Cancri e,False,F,P,1247.0,1
6034,Mars,False,TRAPPIST-1e,False,E,P,385.0,1
6066,Europa,False,55 Cancri e,False,C,S,226.0,1
6065,Earth,False,TRAPPIST-1e,False,E,S,398.0,1
6064,Europa,False,55 Cancri e,False,C,P,186.0,1
6062,Mars,False,TRAPPIST-1e,False,F,P,1254.0,1
6062,Mars,False,TRAPPIST-1e,False,E,P,388.0,1
6061,Earth,False,TRAPPIST-1e,False,F,S,1153.0,1
6059,Earth,False,TRAPPIST-1e,False,G,P,982.0,1
6058,Mars,False,55 Cancri e,False,F,P,1253.0,1
6055,Europa,True,TRAPPIST-1e,False,C,P,185.0,1
6055,Europa,False,TRAPPIST-1e,False,C,P,185.0,1
6055,Europa,False,PSO J318.5-22,True,C,P,185.0,1
6034,Mars,False,PSO J318.5-22,False,E,P,385.0,1
6054,Mars,True,TRAPPIST-1e,False,F,S,1151.0,1
6047,Earth,False,PSO J318.5-22,False,G,S,985.0,1
6045,Europa,False,TRAPPIST-1e,False,B,S,233.0,1
6043,Earth,False,TRAPPIST-1e,False,G,P,978.0,1
6042,Mars,False,TRAPPIST-1e,False,F,P,1249.0,1
6041,Mars,False,TRAPPIST-1e,False,F,P,1248.0,1
6040,Earth,False,TRAPPIST-1e,False,G,S,984.0,1
6039,Earth,False,TRAPPIST-1e,False,F,S,1148.0,1
6038,Mars,False,TRAPPIST-1e,False,F,S,1147.0,1
6035,Earth,False,TRAPPIST-1e,False,G,P,976.0,1
6035,Earth,False,TRAPPIST-1e,False,E,P,386.0,1
6034,Mars,True,PSO J318.5-22,False,E,P,385.0,1
6052,Earth,True,TRAPPIST-1e,False,G,P,980.0,1
6067,Earth,False,TRAPPIST-1e,False,G,P,984.0,1
6004,Mars,True,TRAPPIST-1e,False,F,S,1143.0,1
6001,Earth,True,TRAPPIST-1e,False,G,P,969.0,1
5967,Earth,True,55 Cancri e,False,G,P,965.0,1
5965,Earth,False,TRAPPIST-1e,False,G,P,964.0,1
5963,Mars,False,55 Cancri e,False,F,P,1228.0,1
5960,Europa,True,55 Cancri e,False,C,S,222.0,1
5959,Europa,True,TRAPPIST-1e,False,D,S,181.0,1
5959,Europa,False,TRAPPIST-1e,False,D,S,181.0,1
5957,Europa,False,55 Cancri e,True,B,P,203.0,1
5956,Earth,False,TRAPPIST-1e,False,E,P,379.0,1
5955,Mars,False,TRAPPIST-1e,False,F,S,1135.0,1
5955,Mars,False,TRAPPIST-1e,False,E,S,392.0,1
5954,Mars,False,TRAPPIST-1e,False,E,S,391.0,1
5968,Earth,False,TRAPPIST-1e,False,F,P,1229.0,1
5953,Mars,False,TRAPPIST-1e,False,E,S,390.0,1
5951,Earth,False,55 Cancri e,False,F,S,1133.0,1
5950,Earth,False,TRAPPIST-1e,False,E,P,378.0,1
5949,Mars,True,TRAPPIST-1e,False,F,S,1132.0,1
5949,Mars,False,TRAPPIST-1e,False,D,S,180.0,1
5947,Europa,True,TRAPPIST-1e,False,E,S,388.0,1
5946,Mars,False,TRAPPIST-1e,False,E,S,387.0,1
5945,Earth,True,TRAPPIST-1e,False,G,S,970.0,1
5945,Earth,True,55 Cancri e,False,G,S,970.0,1
5945,Earth,False,PSO J318.5-22,False,G,S,970.0,1
5944,Earth,True,PSO J318.5-22,False,G,S,969.0,1
5939,Earth,False,TRAPPIST-1e,False,E,S,385.0,1
5952,Mars,True,55 Cancri e,False,F,S,1134.0,1
6003,Earth,False,TRAPPIST-1e,False,G,P,970.0,1
5969,Earth,False,55 Cancri e,False,F,S,1137.0,1
5969,Earth,True,TRAPPIST-1e,False,G,S,972.0,1
6000,Mars,False,TRAPPIST-1e,False,D,P,189.0,1
5999,Earth,False,TRAPPIST-1e,False,G,P,968.0,1
5998,Earth,False,TRAPPIST-1e,False,G,S,977.0,1
5995,Earth,True,PSO J318.5-22,False,G,P,967.0,1
5994,Earth,False,55 Cancri e,False,F,P,1236.0,1
5993,Mars,True,TRAPPIST-1e,False,E,S,394.0,1
5992,Earth,True,PSO J318.5-22,False,G,S,975.0,1
5991,Europa,False,55 Cancri e,False,C,S,224.0,1
5990,Earth,True,TRAPPIST-1e,False,G,S,974.0,1
5989,Earth,False,TRAPPIST-1e,False,F,S,1141.0,1
5988,Mars,False,55 Cancri e,False,F,P,1235.0,1
5969,Earth,False,TRAPPIST-1e,False,G,S,972.0,1
5987,Earth,False,TRAPPIST-1e,False,G,S,973.0,1
5985,Earth,False,TRAPPIST-1e,False,F,P,1234.0,1
5984,Mars,False,TRAPPIST-1e,False,E,P,381.0,1
5984,Mars,False,PSO J318.5-22,False,D,P,187.0,1
5983,Mars,True,TRAPPIST-1e,False,F,P,1233.0,1
5983,Mars,False,TRAPPIST-1e,True,F,P,1233.0,1
5980,Europa,False,55 Cancri e,False,C,S,223.0,1
5976,Mars,False,TRAPPIST-1e,False,D,S,182.0,1
5975,Europa,True,55 Cancri e,False,E,P,380.0,1
5974,Mars,True,55 Cancri e,False,D,P,186.0,1
5972,Earth,False,TRAPPIST-1e,False,F,S,1138.0,1
5971,Mars,False,TRAPPIST-1e,False,F,P,1230.0,1
5986,Europa,True,TRAPPIST-1e,False,D,P,188.0,1
6068,Earth,False,TRAPPIST-1e,False,F,S,1154.0,1
6069,Mars,False,55 Cancri e,False,D,S,185.0,1
6070,Mars,False,TRAPPIST-1e,False,D,S,186.0,1
6179,Europa,True,TRAPPIST-1e,False,B,P,209.0,1
6178,Earth,True,PSO J318.5-22,False,G,P,1001.0,1
6176,Mars,True,TRAPPIST-1e,False,F,P,1275.0,1
6175,Earth,True,TRAPPIST-1e,False,G,P,1000.0,1
6174,Earth,True,TRAPPIST-1e,False,G,P,999.0,1
6174,Earth,True,PSO J318.5-22,False,G,P,999.0,1
6174,Earth,False,55 Cancri e,False,F,P,1274.0,1
6172,Earth,True,TRAPPIST-1e,False,G,S,1001.0,1
6171,Earth,False,TRAPPIST-1e,False,E,S,410.0,1
6170,Earth,False,TRAPPIST-1e,False,G,P,998.0,1
6169,Earth,False,TRAPPIST-1e,False,G,S,1000.0,1
6180,Earth,True,PSO J318.5-22,False,G,S,1002.0,1
6168,Earth,True,PSO J318.5-22,False,G,S,999.0,1
6167,Earth,True,PSO J318.5-22,False,G,S,998.0,1
6166,Earth,False,TRAPPIST-1e,False,E,P,394.0,1
6163,Earth,False,TRAPPIST-1e,False,E,S,409.0,1
6162,Earth,False,55 Cancri e,False,F,S,1181.0,1
6158,Earth,True,PSO J318.5-22,False,G,S,996.0,1
6157,Mars,False,TRAPPIST-1e,False,E,S,407.0,1
6156,Earth,False,TRAPPIST-1e,False,F,S,1179.0,1
6155,Earth,False,TRAPPIST-1e,False,F,S,1178.0,1
6153,Europa,True,55 Cancri e,False,B,S,236.0,1
6152,Europa,True,TRAPPIST-1e,False,B,S,235.0,1
6152,Europa,False,TRAPPIST-1e,False,B,S,235.0,1
6168,Earth,False,55 Cancri e,False,G,S,999.0,1
6150,Earth,False,TRAPPIST-1e,False,F,S,1177.0,1
6181,Europa,False,TRAPPIST-1e,False,C,P,191.0,1
6184,Earth,True,PSO J318.5-22,False,G,S,1003.0,1
6227,Earth,False,PSO J318.5-22,False,F,S,1192.0,1
6225,Earth,False,TRAPPIST-1e,False,G,P,1007.0,1
6224,Earth,False,TRAPPIST-1e,False,F,S,1191.0,1
6224,Earth,False,55 Cancri e,False,G,S,1006.0,1
6223,Mars,False,TRAPPIST-1e,False,E,P,398.0,1
6222,Earth,False,PSO J318.5-22,False,F,S,1190.0,1
6220,Earth,False,PSO J318.5-22,False,F,P,1284.0,1
6219,Earth,False,TRAPPIST-1e,False,F,P,1283.0,1
6218,Earth,False,TRAPPIST-1e,False,E,S,413.0,1
6218,Earth,False,55 Cancri e,False,F,S,1188.0,1
6216,Mars,False,TRAPPIST-1e,False,F,P,1282.0,1
6182,Earth,True,TRAPPIST-1e,False,G,P,1002.0,1
6213,Earth,False,55 Cancri e,False,F,P,1280.0,1
6208,Mars,True,55 Cancri e,False,F,P,1279.0,1
6207,Mars,False,TRAPPIST-1e,False,E,P,397.0,1
6206,Earth,False,TRAPPIST-1e,False,F,S,1187.0,1
6205,Mars,False,TRAPPIST-1e,True,D,S,189.0,1
6201,Europa,False,55 Cancri e,True,A,P,60.0,1
6200,Europa,False,55 Cancri e,False,B,S,238.0,1
6199,Mars,True,TRAPPIST-1e,False,E,S,412.0,1
6199,Mars,False,TRAPPIST-1e,False,D,S,188.0,1
6192,Earth,False,PSO J318.5-22,False,F,S,1183.0,1
6189,Earth,False,TRAPPIST-1e,False,G,P,1004.0,1
6186,Mars,False,TRAPPIST-1e,True,E,P,396.0,1
6211,Mars,False,TRAPPIST-1e,False,D,P,193.0,1
6149,Earth,False,TRAPPIST-1e,False,G,S,995.0,1
6146,Europa,False,TRAPPIST-1e,False,B,P,207.0,1
6145,Europa,False,55 Cancri e,False,C,S,231.0,1
6106,Europa,True,55 Cancri e,False,C,S,228.0,1
6105,Europa,False,TRAPPIST-1e,False,E,S,401.0,1
6103,Earth,True,PSO J318.5-22,False,G,P,990.0,1
6102,Earth,False,PSO J318.5-22,False,F,S,1165.0,1
6101,Earth,False,55 Cancri e,False,F,P,1261.0,1
6099,Earth,True,TRAPPIST-1e,False,G,S,992.0,1
6098,Earth,False,55 Cancri e,False,F,S,1163.0,1
6095,Mars,False,TRAPPIST-1e,False,D,P,192.0,1
6092,Earth,True,PSO J318.5-22,False,G,S,991.0,1
6092,Earth,False,TRAPPIST-1e,False,G,S,991.0,1
6092,Earth,False,TRAPPIST-1e,False,F,S,1161.0,1
6107,Earth,False,55 Cancri e,False,F,P,1263.0,1
6091,Earth,True,TRAPPIST-1e,False,G,P,988.0,1
6090,Mars,True,TRAPPIST-1e,False,F,P,1259.0,1
6087,Earth,False,TRAPPIST-1e,False,F,S,1160.0,1
6086,Europa,False,55 Cancri e,False,A,S,72.0,1
6085,Earth,False,TRAPPIST-1e,False,F,P,1257.0,1
6082,Earth,False,TRAPPIST-1e,False,G,P,987.0,1
6080,Earth,False,TRAPPIST-1e,False,G,S,989.0,1
6077,Earth,True,TRAPPIST-1e,False,G,P,985.0,1
6076,Earth,False,TRAPPIST-1e,False,G,S,988.0,1
6075,Europa,True,TRAPPIST-1e,False,B,P,206.0,1
6073,Mars,True,55 Cancri e,False,F,S,1156.0,1
6071,Earth,False,TRAPPIST-1e,False,G,S,987.0,1
